   % 1. Title: Fragment Data
   % 
   % 2. Sources:
   %      (a) Creator: Joshua I. James, Pavel Gladyshev
   %	  (b) Desc: Once class SVM data set - jpg (500), jpeg (500) - test set
   %		Numeric attributes are the values of each byte
   %		WEKA NOTE: One class SVM in Weka will classify [not jpg] as NaN
   %		   This makes getting an exact error rate difficult for larger test sets.
   %		   More accurate estimation - test with 20 instances and manually keep track of order.
   %      (c) Date: June, 2015
   % 
   @RELATION fileTypeClusters

   @ATTRIBUTE fileType {image/jpeg}
   @ATTRIBUTE 0 NUMERIC
   @ATTRIBUTE 1 NUMERIC
   @ATTRIBUTE 2 NUMERIC
   @ATTRIBUTE 3 NUMERIC
   @ATTRIBUTE 4 NUMERIC
   @ATTRIBUTE 5 NUMERIC
   @ATTRIBUTE 6 NUMERIC
   @ATTRIBUTE 7 NUMERIC
   @ATTRIBUTE 8 NUMERIC
   @ATTRIBUTE 9 NUMERIC
   @ATTRIBUTE 10 NUMERIC
   @ATTRIBUTE 11 NUMERIC
   @ATTRIBUTE 12 NUMERIC
   @ATTRIBUTE 13 NUMERIC
   @ATTRIBUTE 14 NUMERIC
   @ATTRIBUTE 15 NUMERIC
   @ATTRIBUTE 16 NUMERIC
   @ATTRIBUTE 17 NUMERIC
   @ATTRIBUTE 18 NUMERIC
   @ATTRIBUTE 19 NUMERIC
   @ATTRIBUTE 20 NUMERIC
   @ATTRIBUTE 21 NUMERIC
   @ATTRIBUTE 22 NUMERIC
   @ATTRIBUTE 23 NUMERIC
   @ATTRIBUTE 24 NUMERIC
   @ATTRIBUTE 25 NUMERIC
   @ATTRIBUTE 26 NUMERIC
   @ATTRIBUTE 27 NUMERIC
   @ATTRIBUTE 28 NUMERIC
   @ATTRIBUTE 29 NUMERIC
   @ATTRIBUTE 30 NUMERIC
   @ATTRIBUTE 31 NUMERIC
   @ATTRIBUTE 32 NUMERIC
   @ATTRIBUTE 33 NUMERIC
   @ATTRIBUTE 34 NUMERIC
   @ATTRIBUTE 35 NUMERIC
   @ATTRIBUTE 36 NUMERIC
   @ATTRIBUTE 37 NUMERIC
   @ATTRIBUTE 38 NUMERIC
   @ATTRIBUTE 39 NUMERIC
   @ATTRIBUTE 40 NUMERIC
   @ATTRIBUTE 41 NUMERIC
   @ATTRIBUTE 42 NUMERIC
   @ATTRIBUTE 43 NUMERIC
   @ATTRIBUTE 44 NUMERIC
   @ATTRIBUTE 45 NUMERIC
   @ATTRIBUTE 46 NUMERIC
   @ATTRIBUTE 47 NUMERIC
   @ATTRIBUTE 48 NUMERIC
   @ATTRIBUTE 49 NUMERIC
   @ATTRIBUTE 50 NUMERIC
   @ATTRIBUTE 51 NUMERIC
   @ATTRIBUTE 52 NUMERIC
   @ATTRIBUTE 53 NUMERIC
   @ATTRIBUTE 54 NUMERIC
   @ATTRIBUTE 55 NUMERIC
   @ATTRIBUTE 56 NUMERIC
   @ATTRIBUTE 57 NUMERIC
   @ATTRIBUTE 58 NUMERIC
   @ATTRIBUTE 59 NUMERIC
   @ATTRIBUTE 60 NUMERIC
   @ATTRIBUTE 61 NUMERIC
   @ATTRIBUTE 62 NUMERIC
   @ATTRIBUTE 63 NUMERIC
   @ATTRIBUTE 64 NUMERIC
   @ATTRIBUTE 65 NUMERIC
   @ATTRIBUTE 66 NUMERIC
   @ATTRIBUTE 67 NUMERIC
   @ATTRIBUTE 68 NUMERIC
   @ATTRIBUTE 69 NUMERIC
   @ATTRIBUTE 70 NUMERIC
   @ATTRIBUTE 71 NUMERIC
   @ATTRIBUTE 72 NUMERIC
   @ATTRIBUTE 73 NUMERIC
   @ATTRIBUTE 74 NUMERIC
   @ATTRIBUTE 75 NUMERIC
   @ATTRIBUTE 76 NUMERIC
   @ATTRIBUTE 77 NUMERIC
   @ATTRIBUTE 78 NUMERIC
   @ATTRIBUTE 79 NUMERIC
   @ATTRIBUTE 80 NUMERIC
   @ATTRIBUTE 81 NUMERIC
   @ATTRIBUTE 82 NUMERIC
   @ATTRIBUTE 83 NUMERIC
   @ATTRIBUTE 84 NUMERIC
   @ATTRIBUTE 85 NUMERIC
   @ATTRIBUTE 86 NUMERIC
   @ATTRIBUTE 87 NUMERIC
   @ATTRIBUTE 88 NUMERIC
   @ATTRIBUTE 89 NUMERIC
   @ATTRIBUTE 90 NUMERIC
   @ATTRIBUTE 91 NUMERIC
   @ATTRIBUTE 92 NUMERIC
   @ATTRIBUTE 93 NUMERIC
   @ATTRIBUTE 94 NUMERIC
   @ATTRIBUTE 95 NUMERIC
   @ATTRIBUTE 96 NUMERIC
   @ATTRIBUTE 97 NUMERIC
   @ATTRIBUTE 98 NUMERIC
   @ATTRIBUTE 99 NUMERIC
   @ATTRIBUTE 100 NUMERIC
   @ATTRIBUTE 101 NUMERIC
   @ATTRIBUTE 102 NUMERIC
   @ATTRIBUTE 103 NUMERIC
   @ATTRIBUTE 104 NUMERIC
   @ATTRIBUTE 105 NUMERIC
   @ATTRIBUTE 106 NUMERIC
   @ATTRIBUTE 107 NUMERIC
   @ATTRIBUTE 108 NUMERIC
   @ATTRIBUTE 109 NUMERIC
   @ATTRIBUTE 110 NUMERIC
   @ATTRIBUTE 111 NUMERIC
   @ATTRIBUTE 112 NUMERIC
   @ATTRIBUTE 113 NUMERIC
   @ATTRIBUTE 114 NUMERIC
   @ATTRIBUTE 115 NUMERIC
   @ATTRIBUTE 116 NUMERIC
   @ATTRIBUTE 117 NUMERIC
   @ATTRIBUTE 118 NUMERIC
   @ATTRIBUTE 119 NUMERIC
   @ATTRIBUTE 120 NUMERIC
   @ATTRIBUTE 121 NUMERIC
   @ATTRIBUTE 122 NUMERIC
   @ATTRIBUTE 123 NUMERIC
   @ATTRIBUTE 124 NUMERIC
   @ATTRIBUTE 125 NUMERIC
   @ATTRIBUTE 126 NUMERIC
   @ATTRIBUTE 127 NUMERIC
   @ATTRIBUTE 128 NUMERIC
   @ATTRIBUTE 129 NUMERIC
   @ATTRIBUTE 130 NUMERIC
   @ATTRIBUTE 131 NUMERIC
   @ATTRIBUTE 132 NUMERIC
   @ATTRIBUTE 133 NUMERIC
   @ATTRIBUTE 134 NUMERIC
   @ATTRIBUTE 135 NUMERIC
   @ATTRIBUTE 136 NUMERIC
   @ATTRIBUTE 137 NUMERIC
   @ATTRIBUTE 138 NUMERIC
   @ATTRIBUTE 139 NUMERIC
   @ATTRIBUTE 140 NUMERIC
   @ATTRIBUTE 141 NUMERIC
   @ATTRIBUTE 142 NUMERIC
   @ATTRIBUTE 143 NUMERIC
   @ATTRIBUTE 144 NUMERIC
   @ATTRIBUTE 145 NUMERIC
   @ATTRIBUTE 146 NUMERIC
   @ATTRIBUTE 147 NUMERIC
   @ATTRIBUTE 148 NUMERIC
   @ATTRIBUTE 149 NUMERIC
   @ATTRIBUTE 150 NUMERIC
   @ATTRIBUTE 151 NUMERIC
   @ATTRIBUTE 152 NUMERIC
   @ATTRIBUTE 153 NUMERIC
   @ATTRIBUTE 154 NUMERIC
   @ATTRIBUTE 155 NUMERIC
   @ATTRIBUTE 156 NUMERIC
   @ATTRIBUTE 157 NUMERIC
   @ATTRIBUTE 158 NUMERIC
   @ATTRIBUTE 159 NUMERIC
   @ATTRIBUTE 160 NUMERIC
   @ATTRIBUTE 161 NUMERIC
   @ATTRIBUTE 162 NUMERIC
   @ATTRIBUTE 163 NUMERIC
   @ATTRIBUTE 164 NUMERIC
   @ATTRIBUTE 165 NUMERIC
   @ATTRIBUTE 166 NUMERIC
   @ATTRIBUTE 167 NUMERIC
   @ATTRIBUTE 168 NUMERIC
   @ATTRIBUTE 169 NUMERIC
   @ATTRIBUTE 170 NUMERIC
   @ATTRIBUTE 171 NUMERIC
   @ATTRIBUTE 172 NUMERIC
   @ATTRIBUTE 173 NUMERIC
   @ATTRIBUTE 174 NUMERIC
   @ATTRIBUTE 175 NUMERIC
   @ATTRIBUTE 176 NUMERIC
   @ATTRIBUTE 177 NUMERIC
   @ATTRIBUTE 178 NUMERIC
   @ATTRIBUTE 179 NUMERIC
   @ATTRIBUTE 180 NUMERIC
   @ATTRIBUTE 181 NUMERIC
   @ATTRIBUTE 182 NUMERIC
   @ATTRIBUTE 183 NUMERIC
   @ATTRIBUTE 184 NUMERIC
   @ATTRIBUTE 185 NUMERIC
   @ATTRIBUTE 186 NUMERIC
   @ATTRIBUTE 187 NUMERIC
   @ATTRIBUTE 188 NUMERIC
   @ATTRIBUTE 189 NUMERIC
   @ATTRIBUTE 190 NUMERIC
   @ATTRIBUTE 191 NUMERIC
   @ATTRIBUTE 192 NUMERIC
   @ATTRIBUTE 193 NUMERIC
   @ATTRIBUTE 194 NUMERIC
   @ATTRIBUTE 195 NUMERIC
   @ATTRIBUTE 196 NUMERIC
   @ATTRIBUTE 197 NUMERIC
   @ATTRIBUTE 198 NUMERIC
   @ATTRIBUTE 199 NUMERIC
   @ATTRIBUTE 200 NUMERIC
   @ATTRIBUTE 201 NUMERIC
   @ATTRIBUTE 202 NUMERIC
   @ATTRIBUTE 203 NUMERIC
   @ATTRIBUTE 204 NUMERIC
   @ATTRIBUTE 205 NUMERIC
   @ATTRIBUTE 206 NUMERIC
   @ATTRIBUTE 207 NUMERIC
   @ATTRIBUTE 208 NUMERIC
   @ATTRIBUTE 209 NUMERIC
   @ATTRIBUTE 210 NUMERIC
   @ATTRIBUTE 211 NUMERIC
   @ATTRIBUTE 212 NUMERIC
   @ATTRIBUTE 213 NUMERIC
   @ATTRIBUTE 214 NUMERIC
   @ATTRIBUTE 215 NUMERIC
   @ATTRIBUTE 216 NUMERIC
   @ATTRIBUTE 217 NUMERIC
   @ATTRIBUTE 218 NUMERIC
   @ATTRIBUTE 219 NUMERIC
   @ATTRIBUTE 220 NUMERIC
   @ATTRIBUTE 221 NUMERIC
   @ATTRIBUTE 222 NUMERIC
   @ATTRIBUTE 223 NUMERIC
   @ATTRIBUTE 224 NUMERIC
   @ATTRIBUTE 225 NUMERIC
   @ATTRIBUTE 226 NUMERIC
   @ATTRIBUTE 227 NUMERIC
   @ATTRIBUTE 228 NUMERIC
   @ATTRIBUTE 229 NUMERIC
   @ATTRIBUTE 230 NUMERIC
   @ATTRIBUTE 231 NUMERIC
   @ATTRIBUTE 232 NUMERIC
   @ATTRIBUTE 233 NUMERIC
   @ATTRIBUTE 234 NUMERIC
   @ATTRIBUTE 235 NUMERIC
   @ATTRIBUTE 236 NUMERIC
   @ATTRIBUTE 237 NUMERIC
   @ATTRIBUTE 238 NUMERIC
   @ATTRIBUTE 239 NUMERIC
   @ATTRIBUTE 240 NUMERIC
   @ATTRIBUTE 241 NUMERIC
   @ATTRIBUTE 242 NUMERIC
   @ATTRIBUTE 243 NUMERIC
   @ATTRIBUTE 244 NUMERIC
   @ATTRIBUTE 245 NUMERIC
   @ATTRIBUTE 246 NUMERIC
   @ATTRIBUTE 247 NUMERIC
   @ATTRIBUTE 248 NUMERIC
   @ATTRIBUTE 249 NUMERIC
   @ATTRIBUTE 250 NUMERIC
   @ATTRIBUTE 251 NUMERIC
   @ATTRIBUTE 252 NUMERIC
   @ATTRIBUTE 253 NUMERIC
   @ATTRIBUTE 254 NUMERIC
   @ATTRIBUTE 255 NUMERIC


@DATA
image/jpeg,1,1,2,1,3,0,2,3,1,1,4,2,5,1,4,3,2,1,2,2,0,2,3,0,2,0,4,0,1,0,2,2,2,3,2,0,0,0,2,5,1,0,3,3,1,3,6,4,3,1,2,0,0,1,0,0,6,0,2,1,4,0,2,2,2,3,1,3,3,1,2,4,2,2,1,1,3,1,4,0,2,3,3,1,1,2,5,2,0,6,1,2,2,4,1,2,2,0,0,5,1,3,2,4,2,3,1,2,5,0,2,1,2,3,1,1,2,2,1,3,2,3,1,4,0,3,1,5,1,0,1,0,1,2,1,0,2,3,0,0,4,1,3,0,2,0,2,4,2,5,4,0,3,2,2,4,4,1,3,4,2,2,1,0,0,0,0,3,2,2,1,3,2,3,2,2,1,1,1,3,1,4,1,1,0,3,0,2,2,2,4,1,6,2,5,0,0,2,2,7,1,2,4,3,3,3,0,2,1,2,2,0,0,2,7,1,2,3,5,4,0,2,2,1,2,5,3,0,0,0,0,1,1,3,2,2,2,4,2,1,2,2,2,5,3,2,4,0,2,1,3,3,3,4,3,3
image/jpeg,8,1,2,2,1,0,3,1,0,0,2,1,1,0,3,3,1,2,2,0,1,1,1,1,1,1,3,0,5,3,1,7,0,2,3,0,1,5,4,1,1,1,1,3,3,3,1,2,2,2,2,2,3,3,2,0,1,1,2,4,4,3,4,2,2,2,2,1,1,1,1,1,1,1,2,3,0,1,2,1,0,2,4,1,2,1,2,1,4,1,2,1,1,7,0,4,1,1,0,2,0,1,5,0,1,2,0,4,4,2,1,0,3,2,2,3,2,0,2,1,1,4,0,0,1,1,5,0,1,3,1,4,0,1,2,1,0,1,1,1,4,3,2,1,5,6,2,2,0,2,1,2,3,0,1,3,1,2,8,3,1,3,2,2,2,1,1,5,5,4,2,2,1,5,2,5,0,4,1,4,2,0,1,2,0,3,4,1,3,1,2,2,2,0,2,4,1,3,1,3,1,1,7,3,0,0,2,5,1,4,2,1,3,2,3,3,2,3,3,2,4,6,4,1,3,1,1,0,3,2,1,5,1,2,2,1,0,3,1,2,0,2,3,2,4,3,2,1,1,2,4,1,1,1,1,5
image/jpeg,2,2,2,2,0,0,0,3,0,3,0,4,1,4,4,1,4,0,2,1,0,1,3,5,0,1,0,1,2,2,0,3,2,2,1,4,1,5,1,3,2,1,1,0,2,1,3,3,1,1,2,1,0,0,2,2,1,0,4,0,4,2,1,3,4,0,3,3,1,2,1,2,3,1,0,1,0,1,2,1,0,3,1,2,0,1,1,6,4,1,0,6,3,5,1,3,2,2,0,2,3,2,2,0,1,2,2,3,1,2,1,1,4,0,4,0,1,3,5,6,3,4,5,3,1,2,2,9,0,2,1,2,0,1,1,1,0,1,1,1,0,3,3,2,1,2,4,1,3,1,0,2,2,0,1,0,2,2,2,1,0,2,1,2,1,1,0,1,1,2,1,2,4,5,2,2,3,2,1,2,1,1,1,2,3,2,5,3,3,2,3,1,2,0,3,1,2,3,2,0,1,3,3,4,0,4,0,6,2,2,2,0,4,2,4,0,1,1,1,2,4,4,2,3,1,3,3,4,4,0,2,5,6,0,5,1,0,2,5,2,2,3,5,2,2,2,2,6,2,2,3,2,2,3,4,5
image/jpeg,2,2,2,2,0,0,0,3,0,3,0,4,1,4,4,1,4,0,2,1,0,1,3,5,0,1,0,1,2,2,0,3,2,2,1,4,1,5,1,3,2,1,1,0,2,1,3,3,1,1,2,1,0,0,2,2,1,0,4,0,4,2,1,3,4,0,3,3,1,2,1,2,3,1,0,1,0,1,2,1,0,3,1,2,0,1,1,6,4,1,0,6,3,5,1,3,2,2,0,2,3,2,2,0,1,2,2,3,1,2,1,1,4,0,4,0,1,3,5,6,3,4,5,3,1,2,2,9,0,2,1,2,0,1,1,1,0,1,1,1,0,3,3,2,1,2,4,1,3,1,0,2,2,0,1,0,2,2,2,1,0,2,1,2,1,1,0,1,1,2,1,2,4,5,2,2,3,2,1,2,1,1,1,2,3,2,5,3,3,2,3,1,2,0,3,1,2,3,2,0,1,3,3,4,0,4,0,6,2,2,2,0,4,2,4,0,1,1,1,2,4,4,2,3,1,3,3,4,4,0,2,5,6,0,5,1,0,2,5,2,2,3,5,2,2,2,2,6,2,2,3,2,2,3,4,5
image/jpeg,2,2,2,2,0,0,0,3,0,3,0,4,1,4,4,1,4,0,2,1,0,1,3,5,0,1,0,1,2,2,0,3,2,2,1,4,1,5,1,3,2,1,1,0,2,1,3,3,1,1,2,1,0,0,2,2,1,0,4,0,4,2,1,3,4,0,3,3,1,2,1,2,3,1,0,1,0,1,2,1,0,3,1,2,0,1,1,6,4,1,0,6,3,5,1,3,2,2,0,2,3,2,2,0,1,2,2,3,1,2,1,1,4,0,4,0,1,3,5,6,3,4,5,3,1,2,2,9,0,2,1,2,0,1,1,1,0,1,1,1,0,3,3,2,1,2,4,1,3,1,0,2,2,0,1,0,2,2,2,1,0,2,1,2,1,1,0,1,1,2,1,2,4,5,2,2,3,2,1,2,1,1,1,2,3,2,5,3,3,2,3,1,2,0,3,1,2,3,2,0,1,3,3,4,0,4,0,6,2,2,2,0,4,2,4,0,1,1,1,2,4,4,2,3,1,3,3,4,4,0,2,5,6,0,5,1,0,2,5,2,2,3,5,2,2,2,2,6,2,2,3,2,2,3,4,5
image/jpeg,3,4,0,5,2,0,2,3,1,0,2,3,4,3,3,4,1,3,1,2,2,1,0,1,2,1,5,4,1,0,2,3,2,3,0,2,0,1,1,5,4,1,1,1,4,2,0,4,1,3,1,2,0,0,1,2,3,1,2,1,2,2,3,4,1,2,0,1,2,1,2,2,1,2,3,1,1,0,2,1,0,4,1,2,1,1,1,5,6,1,3,0,3,3,1,5,2,3,2,2,1,1,3,2,0,1,1,1,4,2,1,1,3,3,1,0,1,1,0,4,1,4,2,1,2,2,3,3,0,3,2,6,2,1,2,2,1,2,3,1,3,2,2,5,2,1,2,1,2,0,1,4,1,0,2,0,0,6,0,1,0,1,1,1,1,4,0,1,1,1,3,3,1,2,2,4,3,3,2,2,0,2,2,3,0,2,1,1,3,3,3,3,4,4,1,1,1,1,4,1,1,1,3,1,1,4,0,4,1,4,1,3,4,2,2,1,1,5,0,1,2,2,3,2,1,3,3,7,4,1,5,3,0,1,5,2,4,1,1,3,4,3,5,1,0,1,3,0,2,1,3,5,4,2,2,3
image/jpeg,3,4,0,5,2,0,2,3,1,0,2,3,4,3,3,4,1,3,1,2,2,1,0,1,2,1,5,4,1,0,2,3,2,3,0,2,0,1,1,5,4,1,1,1,4,2,0,4,1,3,1,2,0,0,1,2,3,1,2,1,2,2,3,4,1,2,0,1,2,1,2,2,1,2,3,1,1,0,2,1,0,4,1,2,1,1,1,5,6,1,3,0,3,3,1,5,2,3,2,2,1,1,3,2,0,1,1,1,4,2,1,1,3,3,1,0,1,1,0,4,1,4,2,1,2,2,3,3,0,3,2,6,2,1,2,2,1,2,3,1,3,2,2,5,2,1,2,1,2,0,1,4,1,0,2,0,0,6,0,1,0,1,1,1,1,4,0,1,1,1,3,3,1,2,2,4,3,3,2,2,0,2,2,3,0,2,1,1,3,3,3,3,4,4,1,1,1,1,4,1,1,1,3,1,1,4,0,4,1,4,1,3,4,2,2,1,1,5,0,1,2,2,3,2,1,3,3,7,4,1,5,3,0,1,5,2,4,1,1,3,4,3,5,1,0,1,3,0,2,1,3,5,4,2,2,3
image/jpeg,3,4,0,5,2,0,2,3,1,0,2,3,4,3,3,4,1,3,1,2,2,1,0,1,2,1,5,4,1,0,2,3,2,3,0,2,0,1,1,5,4,1,1,1,4,2,0,4,1,3,1,2,0,0,1,2,3,1,2,1,2,2,3,4,1,2,0,1,2,1,2,2,1,2,3,1,1,0,2,1,0,4,1,2,1,1,1,5,6,1,3,0,3,3,1,5,2,3,2,2,1,1,3,2,0,1,1,1,4,2,1,1,3,3,1,0,1,1,0,4,1,4,2,1,2,2,3,3,0,3,2,6,2,1,2,2,1,2,3,1,3,2,2,5,2,1,2,1,2,0,1,4,1,0,2,0,0,6,0,1,0,1,1,1,1,4,0,1,1,1,3,3,1,2,2,4,3,3,2,2,0,2,2,3,0,2,1,1,3,3,3,3,4,4,1,1,1,1,4,1,1,1,3,1,1,4,0,4,1,4,1,3,4,2,2,1,1,5,0,1,2,2,3,2,1,3,3,7,4,1,5,3,0,1,5,2,4,1,1,3,4,3,5,1,0,1,3,0,2,1,3,5,4,2,2,3
image/jpeg,4,0,1,0,2,0,0,2,1,1,1,1,1,2,0,3,2,0,2,1,1,1,2,1,2,4,1,1,2,1,3,3,2,0,1,2,2,1,2,1,4,2,2,0,3,0,1,2,3,3,4,4,2,2,1,4,4,3,1,1,5,2,5,2,4,1,1,1,3,1,2,0,0,2,3,1,2,1,4,1,0,2,2,1,0,2,0,3,2,1,1,5,3,4,2,1,3,1,1,4,2,4,2,1,2,3,1,3,4,3,0,4,3,2,1,3,2,2,3,2,2,1,0,4,1,1,1,0,1,3,2,0,1,4,2,1,2,2,2,3,1,3,1,1,3,4,0,2,3,2,4,4,2,3,3,2,2,1,1,5,1,1,3,0,1,3,1,0,0,1,2,3,3,3,3,0,2,2,1,1,2,9,5,3,0,2,1,0,2,0,2,3,1,1,2,0,1,2,6,1,1,2,2,6,0,0,2,2,2,1,4,4,5,1,3,0,2,3,3,3,6,5,4,0,1,0,2,2,3,3,1,3,2,2,3,1,3,2,2,1,2,1,0,2,2,3,2,1,1,3,3,2,2,3,6,4
image/jpeg,4,2,0,2,0,1,1,3,1,0,0,2,2,1,1,2,0,2,1,5,1,1,1,3,1,2,2,1,3,4,2,2,1,1,5,2,2,0,4,4,1,2,0,6,2,3,0,1,1,3,0,1,6,5,3,0,1,2,1,4,1,3,1,3,0,4,0,1,2,0,2,3,2,3,2,4,1,4,2,1,0,0,1,3,3,0,2,2,2,4,3,3,2,0,4,2,1,2,3,1,5,0,1,3,3,0,3,4,1,5,3,1,0,3,2,1,0,3,0,1,3,4,3,1,1,2,1,3,2,1,0,0,0,2,2,2,0,0,2,1,1,1,1,4,1,2,5,1,1,6,5,4,1,2,5,1,3,0,5,4,1,1,0,1,0,1,2,0,2,4,2,0,1,4,5,2,2,4,1,0,2,1,3,3,2,3,2,4,5,2,1,2,3,0,3,1,4,5,1,0,2,1,2,3,1,5,3,4,2,1,2,3,3,2,0,4,1,0,5,2,2,3,1,1,3,1,2,1,4,3,4,4,2,2,2,1,2,3,1,1,2,3,2,2,0,2,3,0,2,2,1,3,3,1,2,2
image/jpeg,6,2,0,2,2,0,2,3,0,3,3,1,1,1,2,0,0,3,1,1,4,6,3,1,3,0,2,2,1,1,0,1,3,1,0,2,2,1,1,3,0,6,0,0,1,4,1,3,2,1,4,0,1,2,2,1,3,0,1,2,3,2,3,6,3,1,2,0,2,1,3,2,0,4,1,2,2,2,1,2,2,3,0,1,2,3,6,1,2,3,1,0,1,1,3,2,3,3,0,1,5,2,0,0,1,4,0,0,8,1,4,1,3,4,2,1,0,3,2,0,4,2,0,2,4,6,3,3,0,0,2,0,2,1,3,2,0,1,2,1,3,1,2,5,2,1,3,1,2,0,3,1,3,2,2,3,3,2,2,1,2,3,2,3,2,4,3,3,2,1,2,5,1,1,0,4,2,5,2,2,2,3,1,3,2,1,4,4,2,1,3,1,0,1,3,2,0,4,1,1,1,0,4,4,0,3,3,1,0,5,2,5,2,1,2,4,6,0,1,2,1,4,4,2,2,4,1,5,6,2,2,4,1,0,0,2,0,3,2,2,3,2,1,1,3,3,1,2,1,1,0,2,2,2,1,1
image/jpeg,6,2,0,2,2,0,2,3,0,3,3,1,1,1,2,0,0,3,1,1,4,6,3,1,3,0,2,2,1,1,0,1,3,1,0,2,2,1,1,3,0,6,0,0,1,4,1,3,2,1,4,0,1,2,2,1,3,0,1,2,3,2,3,6,3,1,2,0,2,1,3,2,0,4,1,2,2,2,1,2,2,3,0,1,2,3,6,1,2,3,1,0,1,1,3,2,3,3,0,1,5,2,0,0,1,4,0,0,8,1,4,1,3,4,2,1,0,3,2,0,4,2,0,2,4,6,3,3,0,0,2,0,2,1,3,2,0,1,2,1,3,1,2,5,2,1,3,1,2,0,3,1,3,2,2,3,3,2,2,1,2,3,2,3,2,4,3,3,2,1,2,5,1,1,0,4,2,5,2,2,2,3,1,3,2,1,4,4,2,1,3,1,0,1,3,2,0,4,1,1,1,0,4,4,0,3,3,1,0,5,2,5,2,1,2,4,6,0,1,2,1,4,4,2,2,4,1,5,6,2,2,4,1,0,0,2,0,3,2,2,3,2,1,1,3,3,1,2,1,1,0,2,2,2,1,1
image/jpeg,4,3,3,1,1,1,0,2,2,1,3,0,1,1,2,1,2,1,1,1,2,5,5,4,3,4,3,4,2,2,3,4,4,1,1,2,3,2,3,1,2,1,0,3,2,3,2,3,4,1,3,2,1,2,1,0,3,7,3,3,2,1,2,1,2,1,0,1,0,1,3,5,0,2,2,4,4,3,1,2,3,2,1,1,2,0,2,4,2,4,1,1,3,0,1,3,2,4,3,2,1,3,2,2,1,1,2,2,2,4,0,3,0,4,1,2,2,2,4,5,0,2,3,0,5,0,1,0,0,1,1,1,1,2,2,1,1,3,1,0,4,1,2,4,3,2,0,0,3,3,2,0,2,2,3,2,0,2,2,5,0,1,1,0,2,1,3,1,1,1,5,2,4,0,3,3,1,3,3,4,6,1,2,2,3,5,4,0,1,3,1,1,0,0,2,1,2,1,3,4,1,2,3,1,2,4,1,1,2,2,2,2,1,5,2,2,0,1,1,0,4,1,0,0,0,3,4,2,2,2,1,1,1,1,0,3,2,3,4,1,0,2,4,2,1,3,1,3,3,1,5,1,3,3,0,6
image/jpeg,2,0,5,2,2,0,2,3,3,1,1,0,3,2,2,1,2,1,3,1,4,5,3,1,2,2,1,3,2,1,2,5,1,0,4,4,1,1,4,1,1,0,5,4,1,1,0,3,0,2,1,2,0,3,3,0,2,3,5,1,3,1,1,4,2,0,3,0,1,2,4,4,2,2,3,1,0,2,3,1,3,4,3,5,3,2,1,2,3,2,6,4,2,3,1,0,1,2,0,3,0,1,2,0,3,6,0,4,2,1,0,3,2,2,2,4,1,1,0,1,0,0,2,3,3,0,3,4,0,1,2,2,2,1,1,0,2,0,0,1,2,4,5,2,2,4,4,3,1,2,2,1,4,1,2,2,0,1,1,2,2,3,0,2,4,1,3,2,2,2,2,0,0,1,2,2,1,2,1,0,0,1,1,4,1,0,1,0,0,2,2,2,3,4,2,3,4,0,3,4,2,4,2,2,2,0,0,1,2,2,1,1,3,4,3,4,2,4,1,3,3,2,0,1,2,2,1,5,0,2,3,4,2,2,3,2,1,0,3,2,3,1,2,0,2,1,5,3,4,5,3,2,2,3,3,5
image/jpeg,9,1,1,1,3,2,0,5,0,1,1,1,2,3,3,0,1,1,3,0,2,2,2,1,1,3,1,2,3,2,1,2,3,1,3,8,5,3,1,1,1,3,4,6,3,0,2,0,0,2,1,2,4,0,2,4,4,2,0,2,3,2,1,2,3,4,2,4,2,3,4,0,3,4,1,2,3,1,1,1,1,3,0,3,3,3,5,1,0,2,0,5,0,1,5,3,0,1,3,3,2,3,3,2,4,3,2,3,1,3,2,1,2,3,1,3,2,2,3,1,0,1,1,1,0,0,3,0,2,4,2,1,3,5,3,3,1,3,1,1,4,1,4,0,2,2,2,2,0,3,3,4,1,0,5,2,0,1,1,1,0,2,2,0,2,0,5,2,0,2,2,3,3,1,2,3,1,2,3,0,3,2,1,6,3,3,0,1,0,2,2,0,1,2,1,2,2,1,1,2,2,6,5,2,4,0,3,2,2,1,2,2,2,3,2,1,2,3,2,1,1,2,4,0,1,4,1,3,0,2,1,1,2,1,1,1,3,4,2,2,1,2,1,0,0,0,2,3,2,2,1,1,2,2,1,5
image/jpeg,5,1,1,3,2,3,1,3,3,1,0,3,3,3,4,2,1,1,1,1,4,3,1,1,3,3,1,1,9,5,2,2,6,2,1,5,3,1,1,0,3,0,1,5,1,2,3,0,3,3,2,1,1,3,1,3,2,7,0,1,1,3,1,5,0,1,0,2,1,3,1,1,5,2,4,1,0,2,1,2,1,0,4,0,3,3,3,4,3,1,3,3,2,2,0,2,1,1,1,3,0,1,1,2,1,0,1,1,2,3,3,2,0,2,1,1,1,3,3,0,0,1,2,1,2,3,0,2,4,0,1,2,2,4,0,0,3,2,5,0,5,1,2,1,4,3,5,4,0,3,4,3,3,0,2,1,1,0,1,0,1,0,4,2,0,1,3,1,1,0,3,1,0,2,2,2,3,3,1,1,2,3,0,1,4,2,1,2,2,2,4,1,2,2,1,0,0,2,3,2,2,4,4,2,1,3,1,0,1,1,4,2,4,1,2,1,4,1,4,2,3,4,4,1,0,1,3,3,4,0,4,5,1,1,3,1,1,1,1,2,1,0,2,6,2,5,2,1,2,2,2,1,0,2,5,6
